РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Забайкальский край,Нерчинск,Нерчинский,Нерчинский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673400, Забайкальский край, г Нерчинск, ул Советская, зд 46",https://nerchinsk--cht.sudrf.ru/,nerchinsk--cht.sudrf.ru,да,75RS0029
Забайкальский край,Нерчинский Завод,Нерчинско-Заводский,Нерчинско-Заводский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674370, Забайкальский край, с Нерчинский Завод, ул Красноармейская, зд 104",https://nerzav--cht.sudrf.ru/,nerzav--cht.sudrf.ru,да,75RS0030
Забайкальский край,Нижний Цасучей,Ононский,Ононский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674480, Забайкальский край, с Нижний Цасучей, ул Комсомольская, д 33",https://onon--cht.sudrf.ru/,onon--cht.sudrf.ru,да,75RS0017
Забайкальский край,Петровск-Забайкальский,,Петровск-Забайкальский городской суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673005, Забайкальский край, г Петровск-Забайкальский, ул Мысовая, д 59",https://petrovskzab--cht.sudrf.ru/,petrovskzab--cht.sudrf.ru,да,75RS0005
Забайкальский край,Приаргунск,Приаргунский,Приаргунский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674310, Забайкальский край, пгт Приаргунск, ул Первомайская, д 3",https://priarginsk--cht.sudrf.ru/,priarginsk--cht.sudrf.ru,да,75RS0018
Забайкальский край,Сретенск,Сретенский,Сретенский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673500, Забайкальский край, г Сретенск, ул Энергетиков, зд 7",https://sretensk--cht.sudrf.ru/,sretensk--cht.sudrf.ru,да,75RS0019
Забайкальский край,Улёты,Улетовский,Улетовский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674050, Забайкальский край, с Улёты, ул Кирова, д 66",https://ulet--cht.sudrf.ru/,ulet--cht.sudrf.ru,да,75RS0021
Забайкальский край,Хилок,Хилокский,Хилокский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673200, Забайкальский край, г Хилок, ул Советская, зд 17",https://hilok--cht.sudrf.ru/,hilok--cht.sudrf.ru,да,75RS0022
Забайкальский край,Чара,Каларский,Каларский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","674150, Забайкальский край, с Чара, ул Геологическая, д 12",https://chara--cht.sudrf.ru/,chara--cht.sudrf.ru,да,75RS0011
Забайкальский край,Чернышевск,Чернышевский,Чернышевский районный суд Забайкальского края,районный_городской,"Районный, городской, межрайонный суд","673460, Забайкальский край, пгт Чернышевск, ул Центральная, д 2",https://chernishevsk--cht.sudrf.ru/,chernishevsk--cht.sudrf.ru,да,75RS0024
