РЕГИОН,ГОРОД,РАЙОН,НАЗВАНИЕ,ТИП,ТИП_НАЗВАНИЕ,АДРЕС,САЙТ,ДОМЕН_SUDRF,ПАРСЕР,КОД
Алтайский край,Завьялово,,Судебный участок Завьяловского района Алтайского края,мировой,Мировой суд,"658620, Алтайский край, с Завьялово, ул Коммунаров, влд 37",https://zavrn.alt.msudrf.ru/,zavrn.alt.msudrf.ru,нет,22MS0057
Алтайский край,Залесово,,Судебный участок Залесовского района Алтайского края,мировой,Мировой суд,"659220, Алтайский край, с Залесово, ул Партизанская, д 24А",https://zalrn.alt.msudrf.ru/,zalrn.alt.msudrf.ru,нет,22MS0058
Алтайский край,Заринск,,Судебный участок Заринского района Алтайского края,мировой,Мировой суд,"659100, Алтайский край, г Заринск, ул 25 Партсъезда, зд 38/1",https://zarrn.alt.msudrf.ru/,zarrn.alt.msudrf.ru,нет,22MS0038
Алтайский край,Заринск,,Судебный участок № 1 г. Заринска Алтайского края,мировой,Мировой суд,"659100, Алтайский край, г Заринск, ул 25 Партсъезда, зд 38/1",https://zar1.alt.msudrf.ru/,zar1.alt.msudrf.ru,нет,22MS0059
Алтайский край,Заринск,,Судебный участок № 2 г. Заринска Алтайского края,мировой,Мировой суд,"659100, Алтайский край, г Заринск, ул 25 Партсъезда, зд 38/1",https://zar2.alt.msudrf.ru/,zar2.alt.msudrf.ru,нет,22MS0060
Алтайский край,Заринск,,Судебный участок № 3 г. Заринска Алтайского края,мировой,Мировой суд,"659100, Алтайский край, г Заринск, ул 25 Партсъезда, зд 38/1",https://zar3.alt.msudrf.ru/,zar3.alt.msudrf.ru,нет,22MS0061
Алтайский край,Змеиногорск,,Судебный участок Змеиногорского района Алтайского края,мировой,Мировой суд,"658481, Алтайский край, г Змеиногорск, ул Ленина, зд 41",https://zmrn.alt.msudrf.ru/,zmrn.alt.msudrf.ru,нет,22MS0063
Алтайский край,Зональное,,Судебный участок Зонального района Алтайского края,мировой,Мировой суд,"659400, Алтайский край, с Зональное, ул Ленина, зд 9",https://zonrn.alt.msudrf.ru/,zonrn.alt.msudrf.ru,нет,22MS0064
Алтайский край,Калманка,,Судебный участок Калманского района Алтайского края,мировой,Мировой суд,"659040, Алтайский край, с Калманка, ул Ленина, д 19",https://kalmrn.alt.msudrf.ru/,kalmrn.alt.msudrf.ru,нет,22MS0065
Алтайский край,Камень-на-Оби,,Судебный участок № 1 Каменского района Алтайского края,мировой,Мировой суд,"658700, Алтайский край, г Камень-на-Оби, ул Громова, д 49",https://kno1.alt.msudrf.ru/,kno1.alt.msudrf.ru,нет,22MS0066
Алтайский край,Камень-на-Оби,,Судебный участок № 2 Каменского района Алтайского края,мировой,Мировой суд,"658700, Алтайский край, г Камень-на-Оби, ул Громова, д 49",https://kno2.alt.msudrf.ru/,kno2.alt.msudrf.ru,нет,22MS0067
Алтайский край,Камень-на-Оби,,Судебный участок № 3 Каменского района Алтайского края,мировой,Мировой суд,"658700, Алтайский край, г Камень-на-Оби, ул Громова, д 49",https://kamrn.alt.msudrf.ru/,kamrn.alt.msudrf.ru,нет,22MS0068
